id,comentario_resumido_nao_literal,grupos_dependencias,acao,situacao,evidencia,pendencia
R1.1,Validação experimental/HIL,laboratorio,Executar sessão física após preparação; preservar evidência SIL separada.,preparacao_sem_placa,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.2,Traces reais AI/HPC,"principal,windows",Usar NVML medido e DIPLOEE identificado como simulação; documentar transformação e janelas.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.3,Dependência do timing de foresight,"timing,gate",Reexecutar com medição presente correta e avaliar falha do arm8.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.4,Incerteza probabilística de previsão,montecarlo,200 realizações pareadas; intervalos e frequência de piora.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.5,Fairness dos baselines,fairness,Limites comuns e retuning documentado dos cinco controladores.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.6,Sensibilidade dos pesos MPC,pesos,Fatores 0.1/1/10 e diagnóstico numérico.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.7,Fidelidade BESS/UPS,plant_sensitivity,"Sensibilidade tau e discussão explícita de eficiência, temperatura, envelhecimento e SOC.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.8,Arquitetura elétrica multiunidade,handoff,"Discussão futura de múltiplas UPS, conversores, redundância e gerador; não implementado.",pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.9,Definição de carga crítica,handoff,Declarar criticidade integral e discutir classes/prioridades/corte de cargas.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.10,Alegação computacional de tempo real,laboratorio,Medir ciclo completo e headroom; não inferir implantação a partir do solver.,preparacao_sem_placa,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.11,Interpretação da falta longa,long_outage,"Explicar potência/energia, recarga posterior e papel do gerador/redundância.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.12,Posicionamento na literatura,handoff,"Tabela comparativa por informação, continuidade, dinâmica e ablações.",pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.13,Reprodutibilidade,auditoria,"Congelar entradas, parâmetros, sementes, código e resultados.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R1.14,Generalização das conclusões,handoff,Limitar eventos/modelo/dados; nenhuma garantia contra falhas aleatórias.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.1,Formulação QP completa,auditoria,"Exportar mapas, objetivo, restrições, folgas e normalizações para o apêndice futuro.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.2,Caracterização AI/HPC insuficiente,"principal,windows",Traces medidos e simulado identificados; estatísticas de janelas e rampas.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.3,Eventos agendados versus imprevisíveis,"alarm,detection","Separar informação anunciada, corrente e detecção atrasada.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.4,Ablações para isolar foresight e otimização,ablacao,"Previsão só carga, sem antecipação, horizonte1 e sem restrição evento; estocástico adicional.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.5,"Timing, eventos perdidos e falsos positivos","timing,alarm,montecarlo","Sweep denso, alarmes e erros combinados; não prometer mitigação pelo gate.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.6,Explicar fallback do solver,"pesos,principal","Instantes, exitflags, resíduos e ações alternativas por passo.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.7,Validar predição SOC e seleção de sinal,"principal,plant_sensitivity","Comparar com integração por trechos, contar trocas de sinal e erro SOC.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.8,Retuning e restrições dos baselines,fairness,Demonstrar influência de dU/pesos e usar restrições físicas comuns.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.9,"Pesos, normalização e condicionamento",pesos,"Hessiana, Gram de restrições regularizada, resíduos e compromisso entre métricas.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.10,Expressão physical floor,handoff,Usar limite instantâneo específico do cenário e suas hipóteses.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.11,Alegações UPS além do modelo,handoff,Limitar a continuidade de carga apoiada por BESS; sem transferência/DC-link/bypass/qualidade elétrica.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.12,Avaliação determinística única,"montecarlo,windows,plant_sensitivity",Repetições pareadas e variação SOC/tau; probabilidades condicionadas ao modelo ensaiado.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.13,"Tempo completo, percentis e warm-start","auditoria,laboratorio","Montagem, solver, ciclo, iterações, percentis e teste específico de X0.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.14,SOC final na falta longa,long_outage,"Documentar início, fim, duração, recarga e SOC mínimo/final.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.15,Métricas operacionais adicionais,"principal,timing,long_outage","Limiares, SOC nos eventos, energia, throughput, EFC, esforço e recuperação sustentada.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.16,Referência retratada e metadados,handoff,Conferir remoção local e revalidar bibliografia na redação; não publicar sem auditoria.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R2.17,Repositório permanente,"auditoria,handoff",Preparar pacote reproduzível; publicação externa não autorizada nesta etapa.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R3.1,Tabela de comparação com literatura,handoff,"Tabela futura de contribuição e diferenças, com referências verificadas.",pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R3.2,Estatística dos erros de previsão,montecarlo,Intervalos e resultados pareados em 200 realizações.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R3.3,Justificação e sensibilidade dos pesos,pesos,"Variação de pesos, escala e justificativa por objetivos/métricas.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R3.4,Dinâmica simplificada e ranking,plant_sensitivity,Comparar os cinco controladores sob tau=1/2/4 s.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R3.5,Picos iguais em faixas e limite,"principal,handoff",Mostrar degrau ativo/condições que produzem pico igual; não tratar como erro de cópia.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C1,Novidade científica aplicada,handoff,Delimitar contribuição comparativa e região de validade.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C2,Validação insuficiente,laboratorio,"Preparar e depois executar evidência física, separada de SIL.",preparacao_sem_placa,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C3,Cargas reais ou datasets estabelecidos,"principal,windows",Dataset local oficial; NVML medido versus DIPLOEE simulado.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C4,Suposição de previsão e timing,"timing,montecarlo","Erros, alarmes e análise probabilística.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C5,Comparar outro EMS estabelecido,"principal,probabilities",MPC estocástico de três cenários; fundamentação metodológica no handoff.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C6,Justificar pesos de muitas ordens,pesos,"Normalização, sensibilidade e diagnóstico.",ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C7,Evidência de tempo real em hardware,laboratorio,Prazos ponta a ponta na DE2-115; ainda pendente de placa.,preparacao_sem_placa,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C8,Degradação e custo da bateria,"principal,long_outage,handoff",Throughput/EFC como proxies; sem alegar vida útil ou custo de reposição não modelado.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C9,Modelo conversor/UPS simplificado,"plant_sensitivity,handoff",Sensibilidade de ranking e limites do modelo agregado.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C10,Robustez estatística,"montecarlo,windows",Resultados pareados e representatividade limitada das janelas.,ver_andamento_por_job,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C11,Especificidade de data center,handoff,"Clarificar cargas, restrições, continuidade e diferença frente a microrrede genérica.",pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
R4.C12,Conclusões qualificadas,handoff,Não afirmar superioridade fora das condições testadas.,pendente_redacao,IEEE_ACESS_PARECER.pdf; jobs.json; resultados por execução,Validar evidência antes de fechar comentário
